scheme,model,n,MAE,RMSE,R2
New property / 2019-2023,Global median,1754,134.53519498332608,263.80233158863336,-0.09364799603930507
New property / 2019-2023,Random forest,1754,107.01836610692474,188.59813881025806,0.44102149572263505
New property / 2019-2023,Ridge,1754,104.66595778149956,181.43061767301694,0.482701212647095
New property / 2019-2023,Type median,1754,102.89090802877176,185.05859905300957,0.4618060116831776
Spatial blocks 5km / 2019-2023,Global median,1754,134.54152474375707,263.63016156806117,-0.09222092788411462
Spatial blocks 5km / 2019-2023,Random forest,1754,109.18686252612102,188.83231208589436,0.439632520275004
Spatial blocks 5km / 2019-2023,Ridge,1754,104.25247351982746,179.91445937159415,0.49131089229880875
Spatial blocks 5km / 2019-2023,Type median,1754,105.53963209579938,187.9379307234266,0.4449281747107069
