year,model,n,MAE,RMSE,R2
2022,Global median,270,142.01629006828816,273.62627294500913,-0.08942468945670856
2022,Random forest,270,94.7432388654477,151.7620428048835,0.6648741326573757
2022,Ridge,270,97.3212546818002,167.01726138982295,0.5941137493799582
2022,Type median,270,83.16346904561763,146.96699164714724,0.6857167523196335
2023,Global median,338,135.66721384168363,262.359939763896,-0.037689160975846736
2023,Random forest,338,101.63129092431429,151.9598773464354,0.6518790948579178
2023,Ridge,338,101.49976751969271,166.71005069841522,0.5810175784099869
2023,Type median,338,87.23691913811398,151.96271751492833,0.6518660818010042
2024,Global median,547,116.18417219538308,246.3915662688493,-0.049893102850683935
2024,Random forest,547,88.95782708133007,183.00704479707136,0.4207993744231182
2024,Ridge,547,85.9088077925496,186.95226747422228,0.39555765759485406
2024,Type median,547,84.23216360366841,187.84573044337992,0.3897664754357997
2025,Global median,449,110.17069289919756,246.32489310916455,-0.03367051159430545
2025,Random forest,449,82.18373526297039,171.377242886994,0.49965239624905755
2025,Ridge,449,83.32743568272477,185.80942788085702,0.41183251371411345
2025,Type median,449,82.034146256034,187.60920958097705,0.40038315024601623
2022,Previous year EUI,270,29.31064970183036,52.38721241197759,0.9600669756585936
2023,Previous year EUI,338,36.94927128702883,59.99628329502074,0.9457348597683931
2024,Previous year EUI,547,32.398933350934165,59.85706885677322,0.9380381611089459
2025,Previous year EUI,449,26.039336699553033,52.4789898811681,0.9530823279566597
